DOR Code,Municipality,Year,Registered Democrat,Registered Republican,All Other Registered Voters,Total Registered Voters
001,Abington,2012,"3,012","1,213","6,617","10,842"
001,Abington,2010,"3,022","1,156","6,275","10,453"
001,Abington,2008,"3,097","1,149","6,100","10,346"
001,Abington,2006,"3,018","1,146","5,777","9,941"
001,Abington,2004,"3,031","1,202","5,852","10,085"
001,Abington,2002,"2,801","1,094","5,578","9,473"
002,Acton,2012,"4,040","1,594","8,714","14,348"
002,Acton,2010,"3,881","1,587","8,278","13,746"
002,Acton,2008,"3,886","1,693","8,437","14,016"
002,Acton,2006,"3,385","1,630","7,335","12,350"
002,Acton,2004,"3,365","1,714","7,508","12,587"
002,Acton,2002,"2,842","1,738","7,453","12,033"
003,Acushnet,2012,"2,587",562,"4,295","7,444"
003,Acushnet,2010,"2,748",541,"4,184","7,473"
003,Acushnet,2008,"2,991",557,"4,350","7,898"
003,Acushnet,2006,"2,950",557,"4,085","7,592"
003,Acushnet,2004,"3,005",560,"3,917","7,482"
003,Acushnet,2002,"2,797",498,"3,647","6,942"
004,Adams,2012,"2,134",432,"3,370","5,936"
004,Adams,2010,"2,171",429,"3,380","5,980"
004,Adams,2008,"2,207",482,"3,387","6,076"
004,Adams,2006,"2,202",479,"3,264","5,945"
004,Adams,2004,"2,278",497,"3,279","6,054"
004,Adams,2002,"2,166",568,"3,179","5,913"
005,Agawam,2012,"6,214","3,314","11,702","21,230"
005,Agawam,2010,"6,247","3,240","11,380","20,867"
005,Agawam,2008,"6,259","3,161","10,849","20,269"
005,Agawam,2006,"6,440","3,384","11,090","20,914"
005,Agawam,2004,"6,530","3,331","10,620","20,481"
005,Agawam,2002,"6,174","3,038","10,000","19,212"
006,Alford,2012,143,32,196,371
006,Alford,2010,154,36,201,391
006,Alford,2008,149,43,208,400
006,Alford,2006,127,54,200,381
006,Alford,2004,111,56,204,371
006,Alford,2002,82,52,187,321
007,Amesbury,2012,"3,062","1,483","6,567","11,112"
007,Amesbury,2010,"3,311","1,591","6,907","11,809"
007,Amesbury,2008,"3,406","1,643","6,901","11,950"
007,Amesbury,2006,"3,140","1,614","6,187","10,941"
007,Amesbury,2004,"3,172","1,696","5,953","10,821"
007,Amesbury,2002,"2,775","1,596","5,331","9,702"
008,Amherst,2012,"10,324","1,219","10,665","22,208"
008,Amherst,2010,"8,675",948,"7,760","17,383"
008,Amherst,2008,"9,343","1,076","8,537","18,956"
008,Amherst,2006,"8,350","1,076","7,554","16,980"
008,Amherst,2004,"8,522","1,231","8,063","17,816"
008,Amherst,2002,"7,643","1,383","8,735","17,761"
009,Andover,2012,"6,016","3,807","13,597","23,420"
009,Andover,2010,"6,028","3,705","12,856","22,589"
009,Andover,2008,"6,170","3,905","12,832","22,907"
009,Andover,2006,"5,882","4,047","11,681","21,610"
009,Andover,2004,"5,908","4,267","11,670","21,845"
009,Andover,2002,"5,599","4,324","11,263","21,186"
010,Arlington,2012,"14,178","2,168","14,144","30,490"
010,Arlington,2010,"14,062","2,201","13,093","29,356"
010,Arlington,2008,"14,602","2,337","13,144","30,083"
010,Arlington,2006,"13,889","2,464","11,634","27,987"
