Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Did your municipality host comprehensive household hazardous waste collection events in 2011?,How many events?,Regional,Reciprocal,Comments/Additional Information,
ABINGTON,Sharon White,6600,4698,4698,Curbside,,,Curbside,Yes,,,None,Drop-off,,29,Both,Both,Neither,,Yes,3,35,Yes,Yes,Yes,Yes,Yes,,,4171,Yes,1278,,,,,,,,,,,,,0,0,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,Yes,1,Yes,No,We do not have a record of what the tonnage is for as seperate items. Wood is not collected as it is considered demolition material. We also do not collect for white goods or metal products. At this time we are not collecting seperately for textiles or fo,
ACTON,Corey,7500,3705,3786,Drop-off,,,Drop-off,,,,None,Drop-off,,51,Both,Neither,Neither,,,,,,,,,,,,3796,No,,,,793,329,,127.85,,,,,,1030,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,Acton currently does not accept latex paint.  The Health Department collects products containing mercury,
ACUSHNET,Daniel Menard,2664,2664,2664,Curbside,,,Both,Yes,,,None,Drop-off,,52,Both,Both,Recycling,,Yes,3,32,Yes,Yes,,,,,,3612,No,556,28,14,0,0,,,,,,,,,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
ADAMS,Sandy Totter,3992,0,1000,None,,,Drop-off,,,,None,Drop-off,,52,Recycling,Neither,Neither,,,,,,,,,,,Yes,0,No,,,,140,49,,41,,,,,,199,0,Year Round,1 or 2,1 or 2,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
AGAWAM,Tracy DeMaio,11849,8901,8901,Curbside,,,Curbside,,,,None,Both,11,52,Both,Both,Neither,,,,,,,,,,,Yes,8402,No,,,,1109,571,,183,,,,,,37120,Year Round,Once a Week,Between 3 & 10,Between 3 & 10,Year Round,0,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"Yard Waste Tonnage includes the following:
2,095 Tons of residential curbside and drop off yard waste
3,000 Tons of Storm Debris collected curbside by DPW from municipal lots and residential property
32,025 Tons of Storm Debris collected curbside by Ashbr",
ALFORD,Monty Green,175,175,175,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,,,,,,,,,,,,251,Yes,,,,43,24,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,2,Yes,No,,
AMESBURY,Laurie Pierce,6520,5302,5302,Curbside,,,Curbside,Yes,Yes,64,None,Both,5,36,Both,Both,Both,,Yes,3,32,Yes,Yes,Yes,Yes,,,,5131,Yes,1696,,,,,,,,,,,,,1 or 2,0,0,0,1 or 2,0,0,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
AMHERST,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDOVER,Sandra Gerraughty,10399,8786,8786,Curbside,,,Curbside,Yes,Yes,18,None,Both,12,12,Both,Both,Neither,,,,,,,,,,,,9654,Yes,4170,,,,,,,,,,,,1022,1 or 2,0,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,,
AQUINNAH,Don Hatch,503,100,100,Drop-off,,,Drop-off,,,,None,None,,,Both,Both,Both,Yes,,,,,,,,,,,102,No,,,,28,16,,,,,,,,,0,0,0,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,Yes,No,,
