Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Abington,Sharon White,6600,4806,4806,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,Yes,Yes,1,27,Both,Both,Neither,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,Yes,3802,Yes,66,1331,,,,,0,0,0,0,0,0,0,0,8,1 or 2,0,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,Yes,,
Acton,Corey York,9235,3715,3804,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,,,,,,,,,,,Yes,3562,No,75,,,,734,425,,116,,,,,,200,34,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Yes,2,No,No,,
ACUSHNET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Sandy Totter,3992,0,1000,None,,,Drop-off,,,,,None,,Yes,,52,Recycling,Neither,Neither,,,,,,,,,,,Yes,0,No,,,,,140,44,,26,,,,,,199,7,0,Year Round,1 or 2,1 or 2,Year Round,0,Year Round,1 or 2,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,,
Agawam,Tracy DeMaio,11849,8908,8908,Curbside,,,Curbside,,,,,None,Yes,Yes,11,52,Both,Both,Neither,,,,,,,,,,,Yes,7987,No,79.72,,,,1101,658,,224,,,,,,2447,,Year Round,Once a Week,Between 3 & 10,Between 3 & 10,Year Round,0,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,,
Alford,Monty Green,175,175,175,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,,,,,,,,,,,,235,Yes,82.5,,,,41,24,,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,0,1 or 2,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,No,,,,,
Amesbury,Laurie Pierce,6520,5302,5302,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,Yes,Yes,5,37,Trash,Trash,Neither,,Yes,3,32,Yes,Yes,Yes,Yes,,,,4697,Yes,69.4,2026,,,,,0,0,0,0,0,0,0,0,0,1 or 2,0,0,0,0,0,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,Yes,"We offer curbside recycling and solid waste collection to 380 central business district businesses, but we do not offer it to other businesses in the city. The CBD businesses do not have the room to have dumpsters, some have a hard time with the 64 gal. recycling carts. So the answer to #4 is misleading.
We offer 2x's week solid waste collection  and weekly recycling collection in the CBD.
The Cities of Amesbury and Newburyport just renewed their collection contract with G.Mello and IPR for another 5 years. We are currently working to secure a contract for a disposal site for July 1, 2013.
Enforced trash limits are 5 32gal. bags or 3 32 gal. containers.",
Amherst,Susan Waite,9259,1994,1994,Drop-off,,,Drop-off,,,,,None,,Yes,,56,Both,Both,Neither,Yes,,,,,,,,,Yes,Yes,1585,Yes,77,0,0,0,554,275,,94,2,,,,,312,19,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,"Question 2B & 2C: All area college students (with valid ID) are able to use the Amherst Transfer Station WITHOUT the purchase of a sticker.  Because of seasonal (move-out) craziness we do not track the number of student households that take advantage of this benefit.  As there are over 24,000 students attending college in Amherst, this easily brings the number of households utilizing our transfer station to over 2000.

Question 9: EPS shipping peanuts were collected year-round at Transfer Station for reuse (made available free of charge to individuals, small businesses & UPS Store); We assume ""household batteries"" refers to alkaline batteries, which we do not collect.  We collect auto, all rechargeables and button batteries year-round.

Question 10: Pelham, Shutesbury, & Hadley are annually invited to collaborate in our HHW collection event.",
Andover,Sandy Gerraughty,10399,8786,8786,Curbside,,,Curbside,,Yes,,,None,Yes,Yes,12,30,Both,Both,Neither,,,,,,,,,,,,9199,Yes,70,3795,,,,,,,,,,,,6925,,1 or 2,0,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,Food waste collection for composting in schools was started in September 2012.  No comprehensive numbers yet.,
AQUINNAH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
