Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Abington,Sharon White,5386,4555,4555,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,Yes,Yes,3,26,Both,Both,Neither,Neither,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,3646,Yes,,Yes,66,1538,,,,,,,24,,,,,62,,0,1 or 2,Once a Week,Once a Week,1 or 2,Once a Week,Once a Week,1 or 2,1 or 2,1 or 2,Year Round,Once a Week,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,Yes,Yes,,
Acton,Corey York,9235,3670,2746,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,,,,,,,,,,,,,,Yes,3410,Yes,,Yes,75,,,,612,406,,105,,,,,,220,27,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
Acushnet,Daniel Menard,3545,3545,3545,Curbside,,,Both,,Yes,,,None,,Yes,,52,Both,Both,Recycling,Neither,,Yes,3,32,Yes,Yes,Yes,,,,,,,,3505,No,0,No,,572,24,11,0,0,0,18,0,0,0,0,0,407,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,,
Adams,Sandy Totter,3992,0,1000,None,,,Drop-off,,,,,None,,Yes,,52,Recycling,Neither,Neither,Neither,,,,,,,,,,,,,,Yes,4,Yes,,Yes,,,,,133,42,,31,,,,,,,12,0,Year Round,1 or 2,1 or 2,0,0,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,0,0,0,Year Round,No,,,,"We now only open the mercury shed when we have a volunteer to staff it.  Our new recyclables contract, effective July 1, 2013, accepts bulky rigid plastic.  We are in the process of setting up a textile collection box with Goodwill.",
Agawam,Tracy DeMaio,11854,8733,8741,Curbside,,,Curbside,,,,,None,Yes,Yes,12,52,Both,Both,Neither,Neither,,,,,,,,,,,,,,Yes,7896,No,191,No,81.14,,,,1050,642,,,,,,,,2208,41,Year Round,Once a Week,Between 3 & 10,Between 3 & 10,Year Round,0,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Between 3 & 10,Yes,1,No,No,"Scrap Metal / White Goods, Wood, Mattresses, Carpets and Bulky Rigid Plastics are collected by Private Hauler.  The total amount is compiles within the Bulky Waste number reported in this document.",
Alford,Monty Green,175,175,175,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Both,Neither,,,,,,,,,,,,,,Yes,225,Yes,,No,82.5,,,,47,28,,,,,,,,,,0,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,No,,,,,
Amesbury,Laurie Pierce,9430,7643,7662,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,Yes,Yes,5,36,Both,Both,Neither,Neither,,Yes,3,32,Yes,Yes,No,Yes,Yes,Yes,No,,,,4553,Yes,,Yes,61,2069,,,,,,,,,,,,478,8,1 or 2,0,0,0,1 or 2,0,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Once a Week,Yes,1,Yes,Yes,,
Amherst,Susan Waite,9259,1951,1951,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,56,Both,Both,Neither,Neither,Yes,,,,,,,,,,,Yes,Yes,Yes,1498,Yes,,Yes,83,0,,,397,164,,98,2,,,,13,108,17,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,No,Yes,"Question 2B & 2C: All area college students (with valid ID) are able to use the Amherst Transfer Station WITHOUT the purchase of a sticker.  Because of seasonal (move-out) craziness we do not track the number of student households that take advantage of this benefit.  As there are over 24,000 students attending college in Amherst, this easily brings the number of households utilizing our transfer station to over 2000.

Question 8: PAYT compost collection program began April 2013.

Question 9: EPS shipping peanuts are collected year-round at Transfer Station for reuse (made available free of charge to individuals, small businesses & UPS Store).  Single-use EPS serveware is banned in Amherst as of 1/1/2014; We assume ""household batteries"" refers to alkaline batteries, which we do not collect.  We collect auto, all rechargeables and button batteries year-round.

Question 10: Pelham, Shutesbury, & Hadley are annually invited to collaborate in our HHW collection event.",
Andover,Sandy Gerraughty,10512,8850,8850,Curbside,,,Curbside,,Yes,,,None,Yes,Yes,12,33,Both,Both,Neither,Neither,,,,,,,,,,,,,,,9361,Yes,,No,70,3965,,,,,,,,,,,,,13,1 or 2,0,1 or 2,1 or 2,Once a Month,Year Round,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,1 or 2,Yes,1,No,Yes,,
AQUINNAH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
