Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2016?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Abington,Sharon White,6799,4832,4841,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,3,32,Both,Both,Recycling,Recycling,Yes,,,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19,Yes,,,Yes,3806,Yes,,Yes,,68.13,1568.37,,,,,,4.11,32.08,,,,,265,7.61,,Year Round,0,Once a Week,Once a Week,0,Year Round,Once a Week,Once a Week,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,Our Hazardous Waste Day was a joint tri town event with Hanson and Whitman.,,
Acton,Corey York,9742,3444,3775,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Neither,,Yes,Yes,Yes,Yes,100,100,30,Yes,,,,,,,Yes,Yes,,No,,Yes,Yes,,Yes,2392,Yes,,Yes,,54,,,,834.87,392.16,21.25,146.68,85.8,592,10.01,,19.2,600,29.62,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,No,,,
ACUSHNET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Linda Cernik,3992,0,1000,None,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,0,No,3.14,Yes,,,,,,117.42,51.29,,39.64,,,,,,,5.75,,0,Year Round,1 or 2,1 or 2,0,Year Round,Year Round,0,1 or 2,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,No,No,,,
Agawam,Tracy DeMaio,12139,8860,8860,Curbside,,,Curbside,Bi-weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,7577,No,280,No,30,62,,,,982,573,,14.21,,,,,,1565,39,,Year Round,Once a Week,Between 3 & 10,Between 3 & 10,Year Round,Year Round,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,Yes,1,No,Yes,,,
ALFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury,Laurie Pierce,5988,5969,5988,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,9,37,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,32,,,,Yes,,,,,,,,,4696.31,Yes,,Yes,,64.73,,,,,2050.65,,,,,,,,450,6.89,,1 or 2,0,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,Year Round,Year Round,0,Yes,1,No,Yes,,,
Amherst,Steve Telega,9711,1835,1835,Drop-off,,,Drop-off,,,,,Drop-off,2,52,Both,Both,Both,Both,,,Yes,,Yes,,85,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,Yes,,Yes,1424.59,Yes,,Yes,,83,,,,390.07,150.69,,184.9,17,15.12,20.13,,20,153.67,23.17,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,Yes,No,Food waste and textile values are based on estimates from the respective haulers.,,
ANDOVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinnah,Donald Hatch,395,200,200,Drop-off,,,Drop-off,,Yes,,,None,0,52,Both,Neither,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,No,,,,,,91,No,0,,,160,70,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Yes,4,Yes,No,All hard to handle bulky / commercial items residents have to deliver to the main transfer station in Edgartown 52 weeks per year items are excepted.,,
Arlington,Charlotte Milan,20311,20181,20181,Curbside,,,Curbside,Weekly,Yes,,,None,35,,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,3,32,Yes,Yes,No,Yes,Yes,Yes,No,,,,,Yes,12483,Yes,,No,52,64.58,5319,,,,,3.25,43.44,4.99,,,,,2604,60,,Year Round,0,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Between 3 & 10,Once a Month,Once a Month,Once a Month,Once a Month,0,No,,,,"We pay $200 a month for a bulky rigid plastic dumpster to be delivered, we fill it at a Saturday event, then JRM hauls is for baling at Greenworks. I could not figure out how to enter this cost in the form, even though it asked for it.Latex paint is never collected. Oil based paint is collected at HHW events.",,
ASHBURNHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
