Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2017?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Abington,Suzanne Moquin,7140,4838,4838,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,3,33,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,19,,,,,,,Yes,3879.65,Yes,0,Yes,,70.48,1637.15,,,,,,5.32,35.43,,,,,134,13.6,,Year Round,0,Once a Month,Once a Month,Between 3 & 10,Year Round,Once a Month,Once a Month,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,0,Year Round,,,Yes,1,No,Yes,,,
Acton,Corey York,9775,3418,3909,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Both,,,Yes,Yes,Yes,,100,30,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,Yes,2163,Yes,0,Yes,,55.61,,,,804.37,379.67,27.38,184.55,85.8,,3.5,,54.4,711,49.56,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,,Yes,2,No,No,,,
Acushnet,Dan Menard,4294,4294,4294,Curbside,Yes,65,Both,Bi-weekly,Yes,Yes,96,None,2,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,65,Yes,Yes,No,Yes,Yes,,,,Yes,,,Yes,Yes,,,,,,3098,No,35,Yes,,52,1000,3.85,,,25.7,,44.75,,,,,,0.1,4.28,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,No,,,,,,
Adams,Linda Cernik,3850,490,1000,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,25,,Yes,,,,,,,,,,,,,,,,,,,,,,4.17,No,4.47,Yes,,,,,,117.52,50.66,,49.6,,,,,,,6,,0,Year Round,1 or 2,1 or 2,0,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,No,,,,"we did not offer a HHW collection in 2017, but have secured a date for June 2, 2018 to be held in Adams for all the district member towns. Held in 2017 were 6 paint collections for all district member towns. Bulky Waste collection held in Adams in June 20",,
Agawam,Tracy DeMaio,11271,8842,8842,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,None,9,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,65,,Yes,,Yes,Yes,,,,,,,,,,,,,Yes,6940,No,276,Yes,30,73,1181,,,498,312,10.5,21,,,,,,1367,33.55,,Year Round,0,0,0,Year Round,Year Round,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,No,Yes,,,
ALFORD,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury,Robert Desmarais,6000,5981,6000,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,9,37,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,32,,,,Yes,Yes,,,,,,,,,,,,,,5000,Yes,0,Yes,,64.73,,,,,2100,,,,,,,,,,,1 or 2,0,1 or 2,0,0,0,0,0,0,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,,1 or 2,,0,Yes,1,No,No,,,
Amherst,SteveTelega,9711,1890,1890,Drop-off,,,Drop-off,,,,,Drop-off,2,52,Both,Both,Both,Both,,,Yes,,Yes,,85,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20,Yes,Yes,Yes,Yes,,Yes,Yes,1441.43,Yes,0,Yes,,85,,,,378.92,153.2,,127.55,17,14.98,16.58,,22,0.07,22.95,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,,Yes,1,Yes,Yes,,,
Andover,Sandra Gerraughty,10575,8865,8865,Curbside,,,Curbside,Bi-weekly,Yes,,,None,12,35,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,4,32,,,,,,,,,,,,,,,,,,,9548,Yes,0,No,,64.61,3406,,,,,,,,,,,234,,18,,1 or 2,0,1 or 2,1 or 2,Once a Month,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,Yes,2,No,Yes,"I have attached the 2016 LA-4 form as I have not received the 2017 form from our Assessors office.  The survey would not let me save without attaching something.  As soon as I receive it, I will forward along.  call me with any questions.",,
Aquinnah,Donald Hatch,397,200,200,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,,Yes,79,No,0,,,162,94,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,0,0,Yes,4,Yes,No,"All hard to handle bulky / commercial items have to be delivered to the main transfer station in Edgartown 52 weeks per year, all items are excepted.",,
Arlington,Charlotte Milan,20311,20311,20311,Curbside,,,Curbside,Weekly,Yes,,,Drop-off,35,,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,3,32,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,Yes,Yes,12850,Yes,0,No,52,66.19,2548,,,,,2.75,28,2.63,,,,2.42,2604,64,,Year Round,0,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,0,0,0,Year Round,Year Round,Year Round,Year Round,Once a Month,Between 3 & 10,Once a Month,,Once a Month,,0,No,,,,"Arlington has a long-established partnership with two hardware stores in Town. Shattuck and Wanamaker hardware stores collect and store fluorescent lamps and bulbs, thermostats, and batteries (non-alkaline. The recycling coordinator arranges for Veolia En",,
ASHBURNHAM,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
