Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2019,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2018?,How many events?,Regional,Reciprocal,,
Abington,Angela Dahlstrom,6571,4581,4581,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,,32,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,19,,,,,,,Yes,4042.2,Yes,0,Yes,,,1542.19,,0,,,,,,,,,,10,2.73,,0,0,Year Round,Year Round,Once a Month,Year Round,Once a Month,Year Round,Once a Month,0,0,Year Round,Year Round,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,12,No,Yes,,
Acton,Corey York,9775,3702,4171,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Both,,,Yes,Yes,Yes,,100,30,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,2220.15,Yes,0,Yes,,57.16,,,0,780.64,375.09,36.12,193.8,98.45,,11.47,,65.6,1399,60.04,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,No,,
Acushnet,Dan Menard,4297,4297,4297,Curbside,Yes,65,Both,Bi-weekly,Yes,Yes,96,None,0,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,65,Yes,Yes,No,Yes,Yes,,,,Yes,,,Yes,Yes,,,,,,3117,No,36,Yes,,63.5,1000,4.1,,,26.1,,46.2,,,,,,0,4.62,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,No,,,,,
Adams,Linda Cernik,3864,460,1000,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,50,,Yes,,,,,,,Yes,Yes,,,Yes,Yes,No,,Yes,Yes,,,,,,67.88,No,4.06,Yes,,,,,,103.11,47.03,,28.44,,,,,,10.8,4,,Year Round,Year Round,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Between 3 & 10,0,Between 3 & 10,Year Round,1 or 2,Yes,1,No,Yes,,
Agawam,Tracy DeMaio,11952,8862,8862,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,None,8,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,65,,Yes,,Yes,Yes,,,,,,,,,,,,,,6327,No,267,Yes,30,73,2232,,,,,,14.41,17.79,,,,,1584.47,29.79,,Year Round,0,Between 3 & 10,0,Year Round,0,0,0,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,0,Year Round,0,0,Yes,1,No,Yes,,
Alford,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury,Robert Desmarais,5846,5785,5785,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,5,34,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,5125.2,Yes,0,Yes,52,67.35,2537.95,,,,,,,,35,,,,270,,,0,0,1 or 2,1 or 2,1 or 2,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,No,,,,,
Amherst,Steve Telega,9822,1877,1877,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Both,,,Yes,,,,85,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1527,Yes,0,Yes,,83,,,,371.44,149.55,,112,17,16.29,23.98,,19.5,129,19.6,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,Yes,Yes,,
Andover,Sandra Gerraughty,10654,8899,8899,Curbside,,,Curbside,Bi-weekly,Yes,,,None,12,35,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,4,32,,Yes,,,,,,,,,,,,,,,,,9772,Yes,0,No,,64.61,3326,,,,,,,,,,,,,,,1 or 2,0,1 or 2,1 or 2,Once a Month,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,Yes,1,No,No,,
Aquinnah,Donald Hatch,400,225,225,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Both,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,,Yes,100,No,0,,,165,78,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,3,Yes,No,,
Arlington,Charlotte Milan,20311,20311,20311,Curbside,,,Curbside,Weekly,Yes,,,Drop-off,34,,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,3,32,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,12487,Yes,0,Yes,,67.84,5131,,,,,4.5,41,48.44,,,,19.19,3894,,,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Once a Month,Between 3 & 10,Once a Month,Once a Month,Once a Month,Once a Month,0,No,,,,,
Ashburnham,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby,Brendan McNeil,1143,230,230,Drop-off,,,Drop-off,,,,,None,,26,Both,Neither,Both,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,Yes,81.85,Yes,0,Yes,,120,,,5.21,23.13,27.46,,5.91,3.45,,,,,1.08,14.34,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,No,,,,,
Ashfield,Kathleen A. Casey,718,413,413,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Both,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,281.24,No,57.37,Yes,,75,,,,106.48,76.69,,12,2.1,,,,,,6.39,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,
Ashland,David S. Miller,6201,5764,5764,Curbside,,,Curbside,Weekly,Yes,Yes,95,None,14,,Both,Both,Neither,Neither,,Yes,,,Yes,146,,,Yes,,,,,,,,,,,,,,,,,,,,,,3150.71,Yes,0,No,12,71.8,1600.54,,,,,,,2.33,,,,,203.72,21.52,,1 or 2,0,Between 3 & 10,Between 3 & 10,Once a Month,Once a Month,Once a Month,0,1 or 2,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,Year Round,0,0,0,1 or 2,Yes,1,No,Yes,,
Athol,Duane Truehart,4664,1029,1029,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Both,Both,,,Yes,Yes,Yes,,50,10,Yes,,,,,,,,,,,,,,,,,,,,,,552,No,426,Yes,,84.5,,,,259.24,139.37,,34,9.22,,,,,0.54,13.93,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,No,,,,,
Attleboro,Jessica Singarella,18056,14168,14168,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,4,35,Both,Both,Neither,Neither,,Yes,,,Yes,202.68,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,19,Yes,Yes,Yes,Yes,,,,9834.43,Yes,0,No,52,73,4390,,,,,,42.69,1.27,,,,,1905,346.66,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,No,No,,
Auburn,Amy Sullivan,7318,5107,5107,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,9,40,Both,Both,Neither,Neither,,Yes,,,,216,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,20,,,,,,,Yes,4418.77,No,0,,,68.18,1459.8,,,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,1 or 2,Yes,1,No,No,,
Avon,Kathleen Waldron,1465,1452,1452,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,0,36,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,,,Yes,,,,1730.92,Yes,0,Yes,,,425.91,,,,,0.04,,1.17,,2.04,,,5.4,4.97,38.02,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Between 3 & 10,0,0,1 or 2,Yes,1,No,Yes,,
Ayer,Andrew Jackson,3176,1274,1274,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,,Yes,Yes,Yes,,90,15,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,822.94,Yes,0,Yes,,92.5,265.37,,61.55,,,20.37,76.5,38.99,,,,12.38,75,9.07,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Barnstable,Patrick Kelliher,23872,8608,12336,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Neither,,Yes,,Yes,,250,,20,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,8927,No,0,Yes,,57.79,2025.88,,589.37,,,,1033.66,75.51,,52.44,,16.3,,79.91,2518.53,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,Year Round,Year Round,0,Year Round,Yes,4,No,Yes,,
Barre,Andrea Mastrototoro,2315,894,894,Drop-off,,,Drop-off,,,,,Drop-off,,52,Neither,Neither,Both,Neither,,,Yes,,Yes,,100,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,685.21,No,72.2,Yes,,,,,,133.61,,,32.69,,,8.83,,0.29,,,72.2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,0,0,0,No,,,,,
Becket,Christopher Bouchard,1779,1779,1779,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Both,Yes,,Yes,,Yes,,50,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,,322.05,No,151.62,Yes,,88,,,,47.53,45.12,4,39.4,0,,2.17,,,,4.01,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Year Round,Year Round,0,0,Between 3 & 10,No,,,,,
Bedford,Edward McGrath,4465,4465,4465,Curbside,Yes,48,Curbside,Weekly,Yes,,,None,4,32,Both,Both,Neither,Neither,Yes,,,,Yes,,,,,Yes,1,48,,Yes,,,,,,,,,,,,,,,,Yes,4107,Yes,0,No,12,70.7,1710,,,,,,56,42,7.6,,,,300,8.46,,1 or 2,1 or 2,Once a Week,Once a Week,Between 3 & 10,Year Round,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,Year Round,0,1 or 2,No,,,,,
Belchertown,Steven Williams,7065,1756,1756,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,,Yes,,Yes,Yes,100,,20,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,Yes,,555.5,Yes,0,Yes,,77.5,,,,326.4,226.4,,102.2,2.6,,3.14,,,16.77,11.56,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
Bellingham,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Mary Beth Calnan,10148,9810,9810,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,38,8,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,Yes,6817,Yes,0,No,52,67.84,2553,,9.64,,,,41.16,52.03,,,,,2072,16.59,,Between 3 & 10,1 or 2,Once a Week,1 or 2,Between 3 & 10,Year Round,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,0,1 or 2,0,0,No,,,,,
Berkley,Robert R. Rose,2835,1102,1102,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,Yes,Yes,,,40,40,,,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,,,687.17,No,520,Yes,,,,,104,55,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
Berlin,Susan Reguera,1190,960,1190,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,,,140,,,,,,,,,Yes,Yes,,,Yes,,No,,,,,,Yes,,,665,Yes,0,Yes,,130,0,36,69,0,89,,18,,,,,,,1.41,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,Year Round,0,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,No,,,,,
Bernardston,Jan Ameen,799,650,650,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Both,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,318.46,No,53.51,Yes,,77,0,,,84.23,77.67,,17.98,1.41,,,,37,,3.33,,Year Round,1 or 2,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,1 or 2,Year Round,0,Year Round,No,,,,,
Beverly,Robert Dever,14000,12610,12610,Curbside,,,Curbside,Weekly,,,,None,13,42,Both,Both,Both,Neither,Yes,Yes,,,,100,,,,Yes,2,32,Yes,Yes,No,Yes,Yes,,,,,,,,,,,,,,11764.1,Yes,0,Yes,52,65,0,,,2025.1,1697.2,,9.56,86.53,,,,214.23,900,11.08,,1 or 2,1 or 2,Once a Month,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,1 or 2,Yes,1,Yes,Yes,,
Billerica,Stephen Robertson,15171,13531,13531,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,11,0,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,12565,Yes,0,Yes,,70,4317.43,,,,,,229.82,,,,,,5121,21.89,,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,Once a Week,Once a Week,Once a Month,Once a Month,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,0,0,0,0,Yes,2,No,No,,
