Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2020,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Film,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2019?,How many events?,Regional,Reciprocal,,,,,,,,,,,,,,,
Abington,Angela Dahlstrom,6558,4486,4486,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,Both,2,23,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,20,Yes,Yes,Yes,Yes,,,Yes,3826.66,Yes,,Yes,,86.5,1413.42,,,,,0,4.29,55.64,0,1.98,0,3.1,27,21.78,0,0,0,Once a Week,< 6,Once a Month,Year Round,Once a Week,Once a Week,Between 6 & 11,0,< 6,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Acton,Corey York,9800,3846,4335,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Both,,,Yes,Yes,Yes,,100,30,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,2148.67,Yes,,Yes,,57.16,,,,683.04,407.27,34.65,177.91,104.99,,11.69,,128.1,505,16.29,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,2,No,No,,,,,,,,,,,,,,,
Acushnet,Dan Menard,4304,3591,3591,Curbside,Yes,65,Both,Bi-weekly,Yes,Yes,96,None,0,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,65,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,Yes,Yes,,,,,,3405.38,No,41,Yes,,64.6,879.5,3.7,20,16.94,27.4,,61.2,,,2.67,,,0,4.69,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,,,,,,,,,,,,,,
Adams,Linda Cernik,3867,664,664,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Recycling,Neither,Yes,,Yes,,Yes,,50,,Yes,,,,,,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,,Yes,130.04,No,4.43,Yes,,110,,,,94.13,45.48,,31.57,4.27,,,,,10.8,4.25,,Year Round,Year Round,Between 6 & 11,Between 6 & 11,< 6,Year Round,Year Round,Year Round,< 6,< 6,< 6,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,Between 6 & 11,Year Round,,Year Round,Yes,1,Yes,No,,,,,,,,,,,,,,,
Agawam,Tracy DeMaio,12031,8879,8879,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,None,8,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,65,,Yes,,No,Yes,,,,,,,,,,,,,Yes,6442,No,275.17,Yes,30,74,2238,,,,,,22.68,47,,,,,,28.97,,Year Round,0,Between 6 & 11,0,Year Round,Year Round,0,0,Year Round,Year Round,Between 6 & 11,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,< 6,0,Year Round,0,0,Yes,1,No,Yes,,,,,,,,,,,,,,,
Alford,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury,Robert Desmarais,5828,5767,5767,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,3,36,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,4631.86,Yes,,Yes,,68.7,1807.02,,,,,,,,,,,,,,,< 6,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,No,,,,,,,,,,,,,,,,,,
Amherst,SteveTelega,9477,1851,1851,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Both,,,Yes,,Yes,,100,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,,Yes,1424.49,Yes,,Yes,,83,,,,345.25,129.75,,0,17,19.14,10.09,,29.25,206,10.02,,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Andover,Sandra Gerraughty,10886,8992,8992,Curbside,,,Curbside,Bi-weekly,Yes,,,None,12,35,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9899.95,Yes,,No,,72.5,2984.42,,,,,,62,5.73,,,,246.24,688,1.65,,< 6,0,< 6,< 6,Once a Month,Year Round,< 6,< 6,< 6,< 6,Year Round,< 6,< 6,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Yes,1,No,No,,,,,,,,,,,,,,,
Aquinnah,Donald Hatch,406,230,230,Drop-off,,,Drop-off,,Yes,,,Drop-off,,,Both,Neither,Neither,Both,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,,Yes,94,No,0,,,168,72,,,,,,,,,,,0.1,,,,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,0,0,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,0,Yes,3,Yes,No,,,,,,,,,,,,,,,
