DOR Code,Municipality,County,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
001,Abington,PLYMOUTH,"16,264","16,351","16,378","16,365","16,689","16,789","15,985","16,042","16,060","16,124","16,179","16,227","16,322","16,400","16,516","16,668"
002,Acton,MIDDLESEX,"20,660","20,562","20,586","20,753","20,797","21,234","21,924","22,261","22,599","22,891","23,253","23,549","23,610","23,712","23,738","23,662"
003,Acushnet,BRISTOL,"10,582","10,544","10,518","10,443","10,368","10,377","10,303","10,309","10,326","10,350","10,415","10,477","10,473","10,507","10,580","10,625"
004,Adams,BERKSHIRE,"8,508","8,455","8,371","8,214","8,295","8,247","8,485","8,420","8,383","8,332","8,260","8,187","8,161","8,104","8,077","8,010"
005,Agawam,HAMPDEN,"28,616","28,599","28,510","28,333","28,091","28,616","28,438","28,573","28,608","28,705","28,728","28,839","28,693","28,696","28,854","28,613"
006,Alford,BERKSHIRE,393,400,398,394,392,390,494,495,492,491,495,495,493,491,491,488
007,Amesbury,ESSEX,"16,737","16,643","16,542","16,429","16,584","16,708","16,283","16,437","16,535","16,650","17,294","17,414","17,337","17,474","17,569","17,532"
008,Amherst,HAMPSHIRE,"34,255","34,047","34,049","35,962","35,565","36,246","37,819","38,991","39,016","38,919","39,826","39,833","40,036","39,523","39,503","39,924"
009,Andover,ESSEX,"32,141","33,042","33,475","33,284","33,418","33,700","33,201","33,869","34,142","34,477","35,035","35,299","35,475","35,803","36,403","36,356"
010,Arlington,MIDDLESEX,"41,546","41,224","41,075","41,144","40,993","41,724","42,844","43,293","43,711","44,028","44,477","44,815","45,226","45,385","45,624","45,531"
011,Ashburnham,WORCESTER,"5,901","5,981","5,996","5,959","5,974","6,070","6,081","6,110","6,134","6,155","6,181","6,209","6,224","6,306","6,346","6,348"
012,Ashby,MIDDLESEX,"2,926","2,930","2,943","2,944","2,927","3,108","3,074","3,106","3,140","3,161","3,209","3,226","3,205","3,219","3,234","3,219"
013,Ashfield,FRANKLIN,"1,820","1,825","1,822","1,815","1,822","1,827","1,737","1,740","1,739","1,733","1,729","1,723","1,726","1,733","1,734","1,717"
014,Ashland,MIDDLESEX,"15,528","15,551","15,678","15,796","15,807","15,383","16,593","16,801","16,993","17,150","17,317","17,573","17,571","17,671","17,739","17,807"
015,Athol,WORCESTER,"11,673","11,697","11,661","11,601","11,570","11,862","11,584","11,620","11,631","11,619","11,626","11,654","11,670","11,717","11,753","11,732"
016,Attleboro,BRISTOL,"43,506","43,382","43,283","43,113","42,833","43,645","43,593","43,689","43,837","43,886","44,074","44,284","44,413","44,744","45,117","45,237"
