Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Program,Trash Collection Type,Trash Collection Method,Trash Disposal Tonnage,Bulky Waste,School Waste,Municipal Building Waste,Commercial Waste,Other Waste,Recycling Collection Type,Recycling Collection Method,Recycling - Dual or Single Stream,Recycling Tonnage
Abington,Sharon White,6000,5110,Curbside,,5286,,Y,Y,,,Curbside,,Single stream,955
ACTON,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Acushnet,Henry Young,3247,886,Curbside,Semi-automated,40,,Y,Y,,,Curbside,Semi-automated,Single stream,572
Adams,Ed Driscoll,3992,1000,Drop-off,,0,,,,,,Drop off,,Dual stream,237
Agawam,Tracy Demaio,12462,8877,Curbside,,8269,,Y,Y,,,Curbside,,Dual stream,1790
ALFORD,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Amesbury,Robert Desmarais,5466,0,Curbside,Automated,5332,Y,Y,Y,Y,,Curbside,Automated,Single stream,1563
Amherst,Susan Waite,10677,515,Subscription,,1218,Y,Y,Y,Y,,Subscription,,Dual stream,666
Andover,Sandy Gerraughty,10386,8783,Curbside,Semi-automated,9670,Y,Y,Y,,,Curbside,Semi-automated,Single stream,3327
AQUINNAH,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Arlington,Ruth Yannetti,22607,22607,Curbside,,15064,Y,Y,Y,Y,,Curbside,,Single stream,4145
ASHBURNHAM,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Ashby,John J. Pankosky,1114,200,Drop off,,72,Y,,,Y,,Drop off,,,82
Ashfield,Eric Weiss,700,700,Drop off,,384,Y,,Y,Y,,Drop off,,Dual stream,264
ASHLAND,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
ATHOL,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Attleboro,Cheryl Perry,42068,13706,Curbside,,10309,Y,Y,Y,,,Curbside,,Dual stream,3809
Auburn,Amy Sullivan,7508,4980,Curbside,Automated,5103,,Y,Y,,,Curbside,Automated,Single stream,765
AVON,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
Ayer,Dan Nason,2982,1500,Drop off,,964,,,Y,,,Drop off,,,350
Barnstable,John Leite,28849,8864,Drop off,,9452,,,Y,Y,,Drop off,,,3180
Barre,Stephanie Bacon,2194,1500,Drop-off,"Other (including drop-off, subscription, and manual)",7840,,,,,Town of Barre msw,Drop-off,"Other (including drop-off, subscription, no service, and manual)",Dual stream,420
BECKET,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Bedford,April Delano,4114,4114,Curbside,,4344,Y,Y,Y,,,Curbside,,Dual stream,1759
BELCHERTOWN,--- Did Not Report ---,,0,Drop off,,0,,,,,,Drop off,,,0
Bellingham,Denis Fraine,5853,5000,Curbside,,7000,Y,Y,Y,,,Curbside,,Dual stream,879
Belmont,Peter J. Castanino,7865,7791,Curbside,Automated,8368,Y,Y,Y,,,Curbside,Automated,Dual stream,2351
Berkley,Scott A. Fournier,2400,876,Drop off,,518,Y,Y,Y,,,Drop off,,Single stream,323
BERLIN,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Bernardston,Jan Ameen,799,720,Drop off,,331,,,,,,Drop off,,Dual stream,170
Beverly,Peter Seamans,49000,13170,Curbside,,13069,Y,Y,Y,Y,,Curbside,,Dual stream,3842
Billerica,Mary Delahanty,13144,12600,Curbside,Automated,14628,Y,Y,Y,,,Curbside,,Dual stream,3342
Blackstone,William T. Walsh,3400,3400,Curbside,Automated,2300,,,Y,,,Curbside,Automated,Dual stream,2200
BLANDFORD,--- Did Not Report ---,,0,Drop-off,,0,,,,,,Drop-off,,,0
Bolton,Shelly Otoole,1678,1678,Drop off,,699,Y,,Y,Y,,Drop off,,,396
Boston,Susan Cascino,277787,277787,Curbside,,208886,Y,,Y,,,Curbside,Semi-automated,Single stream,21600
BOURNE,--- Did Not Report ---,,0,Curbside,,0,,,,,,Curbside,,,0
