Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Recycling Service Type,Yard Waste Service Type,Food Waste Service Type,Curbside yard waste       # weeks collected ,Drop-off yard waste # days drop off center open ,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Trash Disposal Tonnage ,Single Stream Recyclables,Mixed Paper (dual stream),Commingled Containers (dual stream),Newspaper,Cardboard,Steel/tin Cans,Aluminum,Glass,Plastic,Scrap Metal/ White Goods,Textiles/ Used Clothing,C&D Materials,Swap Shop or Book Reuse,Other Materials,Auto Batteries,Household Batteries (including button batteries),Tires,Used Oil,Used Oil Filters,Antifreeze,Computers/ Electronics,Propane Tanks,Latex/Oil based Paint,Fluorescent Lamps/ CFLs,Thermostats,Thermometers,Flow Meters,Mercury Switches,Elemental Mercury,# comprehensive hazardous product collection events ,Regional Program,Reciprocal Program,Comments/Additional Information,,
Abington,Sharon White,5300,5000,5000,Curbside,Curbside,Drop off,None,0,15,Both,Both,Neither,5101,1153.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,12,12,,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,1,Y,Y,"appliance recycling is up to the homeowner.  yard waste, propane tanks, electronics are taken at compost site alternate Saturdays April-Nov, 16/year  residents have access to 12-13 HHW collection per year through SSRC reciprocity HHW collections",,
ACTON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acushnet,Daniel Mendard,3658,3658,3658,Curbside,Both,Drop off,None,0,156,Both,Both,Recycling,3779.75,564.65,0,0,0,0,0,0,0,0,32.51,0,0,0,0,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,0,0,,,,,
Adams,Tom Satko,3992,0,1000,None,Drop off,Drop off,None,0,0,Neither,Neither,Neither,0,0,152,45,0,0,0,0,0,0,47,0,0,0,0,0,Year Round,Year Round,0,0,1 to 2,1 to 2,1 to 2,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,1,Y,N,Adams is a member of the Northern Berkshire Solid Waste Management District.,,
Agawam,Tracy Demaio,12462,8877,8877,Curbside,Curbside,Both,None,11,285,Both,Both,Neither,8163,0,1134,584,0,0,0,0,0,0,133,0,0,0,87,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,1 to 2,Year Round,Year Round,Year Round,0,Year Round,Year Round,1,N,N,,,
Alford,Jamie Cahillane,175,175,175,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,128,0,45.2,26.8,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Y,N,C&D includes bulky and scrap metal.,,
Amesbury,Robert Desmarais,6010,5122,5141,Curbside,Curbside,Drop off,None,5,133,Trash,Trash,Trash,5318.36,1695.88,,,0,0,0,0,0,0,0,0,0,0,0,,1 to 2,,1 to 2,,1 to 2,,1 to 2,1 to 2,1 to 2,,,,,,1,Y,N,,,
Amherst,Guilford Mooring,10677,568,0,None,None,None,None,2,153,Both,Both,Neither,1365.12,0,479.85,163.36,0,0,0,0,0,0,147.67,10,17.07,50,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,12,Year Round,Year Round,Year Round,0,1 to 2,1 to 2,1,Y,Y,Drop -off yard waste only available to households with permit for transfer station  Trash collection not all municpal buildings only 5 or 6,,
Andover,Sandy Gerraughty,10366,8778,8772,Curbside,Curbside,Both,None,12,130,Both,Both,Neither,9756,0,2344,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1,,Y,,,
AQUINNAH,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
