Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2015,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2014?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Abington,Sharon White,5402,4571,4571,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,3,27,Both,Both,Recycling,Recycling,Yes,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,3606,Yes,,Yes,66,1502,,,,,,,22,,,,,62,8,Once a Week,0,Once a Week,Once a Week,Between 3 & 10,,Once a Week,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,0,Yes,11,Yes,Yes,,
Acton,Corey York,9235,3593,3684,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,,Yes,Yes,,210,30,,,,,,,,,,,,,,,Yes,3507,No,9,Yes,75,,,,498,379,,103,,,,,,240,28,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,,Yes,2,No,No,,
Acushnet,Dan Menard,3563,3563,3563,Curbside,,,Both,Bi-weekly,Yes,,,None,1,50,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,32,Yes,Yes,No,,,,,,,,Yes,3646,No,0,No,,556,7,0,0,10,0,20,0,0,0,0,0,244,0,Year Round,0,0,0,Year Round,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,1 or 2,0,0,No,,,,,
Adams,Sandy Totter,3992,0,1000,None,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,0,No,4,Yes,80,,,,134,53,,34,,,,,,,8,0,Year Round,1 or 2,1 or 2,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,"Next Household Hazard Waste Collection is scheduled for May 30, 2015.",
Agawam,Tracy DeMaio,11854,8741,8741,Curbside,,,Curbside,Bi-weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,Yes,,,,7913,No,154,No,60,,,,1059,615,,11,,,,,,2010,35,Year Round,Once a Week,Between 3 & 10,Between 3 & 10,Year Round,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,Yes,,
Alford,Monty Green,175,175,175,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,225,Yes,,No,82,,,,46,35,,,,,,,,,,1 or 2,0,1 or 2,1 or 2,Between 3 & 10,0,1 or 2,1 or 2,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,No,,,,,
Amesbury,Laurie Pierce,9430,7643,7662,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,5,,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,4550,Yes,,Yes,62,2006,,,,,0,0,0,0,0,0,0,327,0,1 or 2,0,0,0,0,0,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,Yes,1,No,Yes,"We offer curbside recycling and solid waste collection to 380 Central Business District commercial vendors, but we do not off trash collection to commercial vendors outside this area. We do, however, pick up recycling at commercial vendors outside the CBD if they have a recycling cart and are along the daily truck route. The CBD does not have room for individual dumpsters for each business. In the CBD trash collection is twice a week and recycling is once a week.We charge $5 for each bulk sticker. Residents are allowed one bulk sticker a week. We offer two weeks in May for residents to receive one free bulk sticker to put out a bulk item in two designated weeks in April. We offer an annual Recycling Collection Event the last Saturday of September. We collect one-use disposable bags, shoes, clothes, mercury, styrofoam, prescription medication, paper shredding, cell phones, ink cartridges, glasses and fluorescent light bulbs. We hold an annual HHW the first Saturday in June.",
Amherst,Steve Telega,9621,2033,2023,Drop-off,,,Drop-off,,,,,Drop-off,2,52,Both,Both,Both,Both,,Yes,,Yes,85,,Yes,,,,,,,Yes,Yes,Yes,No,Yes,,Yes,Yes,1454,Yes,,Yes,83,,,54,378,152,,69,2,16,,,13,296,20,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,Yes,Link to Transfer Station webpage containing fee schedule: http://www.amherstma.gov/158/Amherst-Transfer-Station-Recycling-Cente,
Andover,Marc Fournier,10562,8856,8856,Curbside,,,Curbside,Bi-weekly,Yes,,,None,52,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,9307,Yes,,No,60,3885,,,,,,,,,,,,0,22,1 or 2,0,1 or 2,1 or 2,Once a Month,,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,,Yes,2,No,Yes,Section 6: 52 weeks applies to brush. Leaves and grass are 12 weeks/year. Christmas Trees until they are all gone.,
Aquinnah,Donald Hatch,375,200,200,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Both,Both,Both,,,,Yes,,,Yes,,,,,,,,,,,,,,,102,No,1,No,160,69,,,,,0,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Yes,4,Yes,No,All material are transported to the region refuse district in Edgartown.,
