Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2016,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Did your municipality host comprehensive household hazardous waste collection events in 2015?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Abington,Sharon White,6799,4761,4761,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,3,31,Both,Both,Both,Both,Yes,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19,,,,Yes,3698.47,Yes,,Yes,66,1530.65,,,,,,,26.95,,,,,216,22.29,Year Round,0,Year Round,Once a Week,0,Year Round,Year Round,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,"Our municipal trash and recycling program includes pickup for 713 grandfathered single family condominium units.The link for the Bulky Item Price List can be found on the Town of Abington website abingtonma.gov, at the Health Department Section under News and Announcements.",,
Acton,Corey York,9742,3421,3653,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Neither,,Yes,Yes,Yes,100,30,Yes,,,,,,,,,,,,,Yes,,Yes,3064.68,Yes,,Yes,85,,,,766.14,363.36,14.53,152.47,85.8,478,7.37,,,320,37.33,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,,Year Round,Yes,2,No,No,,,
Acushnet,Dan Menard,3578,3578,3578,Curbside,,,Both,Bi-weekly,Yes,,,None,1,50,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,32,,Yes,,,,,,,,,,,3700.61,No,0,No,,585.65,13.44,0,0,20.8,,12.43,,,,,,434,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,No,,,,,,
Adams,Sandy Totter,3992,0,1000,None,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,0,No,2.12,Yes,,,,,124.23,52.79,,61.83,,,,,,,5.99,0,Year Round,1 or 2,1 or 2,0,Year Round,Year Round,1 or 2,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,Yes,1,No,No,,,
Agawam,Tracy DeMaio,12139,8747,8747,Curbside,,,Curbside,Bi-weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,Yes,,,,7742,No,278,No,61,,,,1001,631,,,,,,,,1906,38,Year Round,Once a Week,Between 3 & 10,Between 3 & 10,Year Round,0,0,Year Round,,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Yes,1,No,Yes,,,
Alford,Monty Green,175,175,175,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,225,Yes,,No,82.5,,,,46,33,,,,,,,,,,1 or 2,0,1 or 2,1 or 2,Between 3 & 10,0,0,1 or 2,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,No,,,,,,
Amesbury,Laurie Pierce,9430,5526,5545,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,5,37,Both,Both,Both,Neither,Yes,,,,,,,Yes,3,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18,,,,,4462.25,Yes,,Yes,63.46,2090.69,,,,,,,,,,,,452,12.13,1 or 2,0,1 or 2,1 or 2,0,Year Round,0,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,0,Year Round,Yes,1,No,Yes,"Amesbury has the haulers collect trash and recycling in the central business district only. (380 units) Trash is collected twice a week. (T, F) and recycling once a week (F)There are a few condo complexes that do receive trash and recycling collection from the municipal contract. (5 for trash and 6 for recycling)Amesbury provides a curbside white goods collection once a month. (52 items this year)E-Waste is collected by a local company and quantities are from two events sponsored by the Lions Club and advertised through City website, City Flyers, etc.",,
Amherst,Steve Telega,9600,1950,1950,Drop-off,,,Drop-off,,,,,Drop-off,2,52,Both,Both,Both,Both,,Yes,,Yes,85,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,1450,Yes,,Yes,83,,,,392.4,138.42,,72.61,2,11.96,,,17,204.8,23.54,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,Yes,,,
Andover,Sandy Gerraughty,10562,8856,8856,Curbside,,,Curbside,Bi-weekly,Yes,,,None,12,33,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,9513,Yes,,No,61.5,3539,,,,,,,,,,,30,925,18,1 or 2,0,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,,1 or 2,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Yes,2,No,Yes,,,
Aquinnah,Don Hatch,375,200,200,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Both,Both,Both,,,,Yes,,,Yes,,,,,,,,,,,,,,,,105,No,0,No,160,61,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,Yes,4,Yes,No,All hard to handle bulky / commercial items residents have to deliver to the main transfer station in Edgartown 52 weeks per year items are excepted.,,
Arlington,Charlotte Milan,20311,20181,20181,Curbside,,,Curbside,Weekly,Yes,,,None,35,,Both,Both,Both,Neither,Yes,,,,,,,Yes,3,32,Yes,Yes,No,Yes,Yes,Yes,No,,,,,Yes,12738.25,Yes,,No,63,4848.88,,,,,2.75,54.36,4.29,,,,,3345,60,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Between 3 & 10,Once a Month,,Once a Month,No,,,,,,
ASHBURNHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby,John J. Pankosky,1136,200,200,Drop-off,,,Drop-off,,,,,None,,,Recycling,Neither,Both,Recycling,,,Yes,Yes,,4,Yes,,,,,,,Yes,Yes,,No,,Yes,,Yes,Yes,72.48,Yes,,Yes,110,,,,36.27,32.17,0,23.5,,,,,,,4.88,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,,0,No,,,,"Items indicated as collected year round are collected on the alternate (every other) Saturday schedule of the Ashby Recycle Center & Transfer Station. Note this is a change from the 2nd & 4th Saturday schedule reported in the CY2014 report. The alternate Saturday schedule was introduced for FY2016. There is no tonnage for rigid plastics, as we didn't have them hauled in CY2015.",,
Ashfield,Kathleen A. Casey,719,494,494,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,Yes,40,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,268,No,70.8,Yes,71,,,,121.3,84.1,,,,,,,,,,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,No,,,,,,
Ashland,DAVID S. MILLER,6163,5710,5710,Curbside,,,Curbside,Weekly,Yes,,,None,16,,Neither,Neither,Neither,Neither,,Yes,,Yes,146,,Yes,,,,,,,,,,,,,,,,3340.51,Yes,,No,69.69,1276.51,,,,,,,,,,,,202.67,9.26,0,0,Between 3 & 10,Between 3 & 10,Once a Month,Once a Month,0,1 or 2,,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,Yes,1,Yes,Yes,,,
Athol,Larry Adams,4000,1150,1150,Drop-off,,,Drop-off,,,,,None,,,Recycling,Neither,Both,Both,,Yes,Yes,Yes,40,10,Yes,,,,,,,,,,,,,,,,529.2,No,323.61,Yes,73,,,,315.98,130.68,,44.42,6.01,,,,,,15.16,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Yes,1,No,Yes,We also service private commercial haulers that provide curbside recycling and trash pickup to local residents and non-Athol residents in neighboring communities. The private haulers account for an additional 1523.12 tons of trash collected. This amount is in addition to the tonnage reported in Question 5. The tons reported on Question 5 are the amounts collected in the PAYT bags.,,
Attleboro,Cheryl Perry,17100,14006,14006,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,4,31,Both,Both,Neither,Neither,,Yes,,Yes,184,,Yes,,,,,,,Yes,Yes,Yes,Yes,38,Yes,,,Yes,9479.35,Yes,,No,73,5051.32,,35.83,,,,460,1,,,,,475.2,201,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,Year Round,0,Year Round,Yes,1,No,No,"I am waiting for ewaste, scrap metal and yard waste figures.",,
Auburn,Amy Sullivan,7390,5042,5042,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,8,36,Both,Both,Neither,Neither,,Yes,,,216,,,Yes,1,64,,Yes,,,,,,,,,,Yes,4403.4,No,0,Yes,66,1452.59,,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,No,,,,Household Hazardous Waste Day and Spring Cleanup are held alternating years. Other materials are collected for recycling at each event. We also refer residents to NEDT in Sutton.,,
Avon,Tara Tradd,1754,1467,1467,Curbside,Yes,96,Curbside,Bi-weekly,Yes,,,None,3,32,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,1746.98,No,114.45,Yes,73.51,303.77,,,,,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,0,Yes,1,No,Yes,,,
Ayer,Andrew Jackson,3084,1315,1315,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,Yes,Yes,80,10,Yes,,,,,,,,,,,,Yes,Yes,,Yes,613.33,Yes,,Yes,67.5,310.09,,52.94,,,12.44,95.42,5,,,,,100,2.5,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,No,,,,Bulky items are paid with purchased stickers issued in $5 increments. Stickers are applied to items based on a fee schedule posted in various locations and the town website.,,
Barnstable,P.J. Kelliher,23656,9319,12381,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Recycling,Neither,Neither,,Yes,Yes,,210,15,,,,,,,,,,,,,,Yes,,,8978,No,0,Yes,55,1591,,367,,,,600,84,,47.25,,,1145,105,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Year Round,0,Year Round,Yes,4,No,No,,,
Barre,Andrea,2271,1525,1525,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Both,Neither,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,1053.18,Yes,,Yes,,,,,80.25,135.76,,74.01,,,0.39,,,,17.24,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,Year Round,0,,0,Yes,1,Yes,No,,,
Becket,Christopher J. Bouchard,1723,1723,1723,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,Yes,40,,Yes,,,,,,,Yes,Yes,,No,,,,,,334.21,No,142.24,Yes,,,,,50.34,50.48,,28.66,2,,2.92,,,,4,0,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,0,0,0,0,Year Round,0,Year Round,No,,,,,,
